Measure	DAX Expression	Parent	Child	Tables	Columns
Volume_FYFC_0_PM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),             REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),              DT_Matrix_Act_Table_ND[KPI] = "Volume"          ),         DT_Date[Month_Number] < MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),              REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),              DT_Matrix_Act_Table_ND[KPI] = "Volume"          ),         DT_Date[Month_Number] >= MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; Volume_effect_FYFC_1_PM; CM1/kg_FYFC_0_PM_VolumeCalc; CM1/kg_FYFC_0_PM_VarCostCalc; Price_effect_FYFC_1_PM; VarCost_effect_FYFC_0_PM; Volume_effect_FYFC_1_CM(for PM comp.); Price_effect_FYFC_1_CM(for PM comp.); VarCost_effect_FYFC_0_CM(for PM comp.); FYFC_CM_0_(for PM comp.); FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
Volume_effect_FYFC_1_PM	[Volume_FYFC_0_PM] * [CM1/kg_FYFC_0_PM_VolumeCalc]	Volume_FYFC_0_PM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; CM1/kg_FYFC_0_PM_VolumeCalc; CM1_effect_FYFC_0_PM	TEST; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
CM1_effect_FYFC_0_PM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),              REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),             DT_Matrix_Act_Table_ND[KPI] = "CM1"         ),         DT_Date[Month_Number] < MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),              REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),             DT_Matrix_Act_Table_ND[KPI] = "CM1"          ),         DT_Date[Month_Number] >= MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; Volume_effect_FYFC_1_PM; CM1/kg_FYFC_0_PM_VolumeCalc; CM1/kg_FYFC_0_PM_VarCostCalc; VarCost_effect_FYFC_0_PM; Volume_effect_FYFC_1_CM(for PM comp.); VarCost_effect_FYFC_0_CM(for PM comp.); FYFC_CM_0_(for PM comp.); FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
CM1/kg_FYFC_0_PM_VolumeCalc	 IF (     SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Volume",     CALCULATE (         DIVIDE ( [CM1_effect_FYFC_0_PM], [Volume_FYFC_0_PM] ),         ALL ( DT_Matrix_Act_Table_ND[KPI] )     ) ) /*   1. CM1/kg FYFC PM = CM1 effect FYFC PM / Volume FYFC PM.  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Because, in the KPI list, CM1 and Volume are 2 different KPIs.  When we make a visual (e.g. a Table), and put KPI column in it, then try to divide: CM1 / Volume, we get a blank, as CM1 and volume are on different lines.  4. The CALCULATE code snippet helps us to divide them.  5. But we still have an issue. For the Calculate code, we get an output (same number, by the way) for each KPI. We only want an output for 'Volume'.  Why??  Because we use CM1/kg to calculate Volume effect later.   6. Hence IF - Selectedvalue used. Now, we get an output only for 'Volume'.  */	CM1_effect_FYFC_0_PM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; Volume_FYFC_0_PM	TEST; Volume_effect_FYFC_1_PM; Volume_effect_FYFC_1_CM(for PM comp.); FYFC_CM_0_(for PM comp.); FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
CM1/kg_FYFC_0_PM_VarCostCalc	 IF (     SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Variable Cost",     CALCULATE (         DIVIDE ( [CM1_effect_FYFC_0_PM], [Volume_FYFC_0_PM], 0 ),         ALL ( DT_Matrix_Act_Table_ND[KPI] )     ) ) /*   1. CM1/kg FYFC PM = CM1 effect FYFC PM / Volume FYFC PM.  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Because, in the KPI list, CM1 and Volume are 2 different KPIs.  When we make a visual (e.g. a Table), and put KPI column in it, then try to divide: CM1 / Volume, we get a blank, as CM1 and volume are on different lines.  4. The CALCULATE code snippet helps us to divide them.  5. But we still have an issue. For the Calculate code, we get an output (same number, by the way) for each KPI. We only want an output for 'Variable cost'.  Why??  Because we use CM1/kg to calculate Variable cost effect  later.   6. Hence IF - Selectedvalue used. Now, we get an output only for 'Variable cost'.  */	CM1_effect_FYFC_0_PM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; Volume_FYFC_0_PM	TEST; VarCost_effect_FYFC_0_PM; VarCost_effect_FYFC_0_CM(for PM comp.); FYFC_CM_0_(for PM comp.); FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
FixedCost_effect_FYFC_1_PM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),             REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),             DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost"          ),         DT_Date[Month_Number] < MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),              REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),              DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost"          ),         DT_Date[Month_Number] >= MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
Price_FYFC_0_PM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),             KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Price" )         ),         DT_Date[Month_Number] < MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),             KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Price" )         ),         DT_Date[Month_Number] >= MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; Price_effect_FYFC_1_PM; VarCost_effect_FYFC_0_PM; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
Price_effect_FYFC_1_PM	 IF (     SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Price",     CALCULATE (         [Price_FYFC_0_PM] * [Volume_FYFC_0_PM],         ALL ( DT_Matrix_Act_Table_ND[KPI] )     ) ) /*   1. Price effect FYFC PM = Price FYFC PM * Volume FYFC PM.  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Because, in the KPI list, Price and volume are 2 different KPIs.  When we make a visual (e.g. a Table), and put KPI column in it, then try to multiply: Price * Volume, we get a blank, as price and volume are on different lines.  4. The CALCULATE code snippet helps us to multiply them.  5. But we still have an issue. For the Calculate code, we get an output (same number, by the way) for each KPI. We only want an output for 'Price'.  6. Hence IF - Selectedvalue used. Now, we get an output only for 'Price'.  */	Price_FYFC_0_PM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; Volume_FYFC_0_PM	TEST; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
VarCost_effect_FYFC_0_PM	 //CM1 effect VAR CM1Effect =     CALCULATE ( [CM1_effect_FYFC_0_PM], ALL ( DT_Matrix_Act_Table_ND[KPI] ) ) //Volume effect VAR VolumeinVarCost =     CALCULATE ( [Volume_FYFC_0_PM], ALL ( DT_Matrix_Act_Table_ND[KPI] ) ) VAR VolumeEffect = VolumeinVarCost * [CM1/kg_FYFC_0_PM_VarCostCalc] //Price effect VAR PriceEffect =     IF (         SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Variable Cost",         CALCULATE (             [Price_FYFC_0_PM] * [Volume_FYFC_0_PM],             ALL ( DT_Matrix_Act_Table_ND[KPI] )         )     ) // Output VAR Output =     IF (         SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Variable Cost",         CM1Effect - VolumeEffect - PriceEffect     ) RETURN     Output /*   1. Var Cost effect = CM1 effect - Volume effect - Price effect  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Ans: In KPI table, CM1, Volume, Price and Var cost are unique items. When I build a table visual with KPI column and them put the CM1 effect, Volume effect, Price effect too, each is in a separate line.  For them to be in 1 line (Var cost), I need to write above code.  4. Most important: The code for Volume Effect merits a detailed explanation.  Volume effect = volume * CM1/kg Let us look at the predicate of the equation above (i.e. what is after =)    Volume:    Originally, Volume is found against 'Volume' KPI.    We want it to show up for 'Variable cost'. We get via the variable "VolumeinVarCost"     CM1/kg:     In the [CM1/kg_FYFC_3_PM_VarCostCalc], we have coded the numbers to show up for Variable cost    (FYI: [CM1/kg_FYFC_3_PM_VolumeCalc] is also available, its not used here, but for Volume calculations)     Now both Volume and CM1/kg are available in the line for KPI 'Variable Cost'.     In Variable 'VolumeEffect' we now multiply Volume * CM1/kg  5. Code for Price effect: I have recalculated price effect here instead of using formula already available for price effect. Recalculation necessary, else I would have no output    */	CM1_effect_FYFC_0_PM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; Volume_FYFC_0_PM; CM1/kg_FYFC_0_PM_VarCostCalc; Price_FYFC_0_PM	TEST; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
EBITbSI_effect_1_FYFC (Act till PM)	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_short] ),                  REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),              DT_Matrix_Act_Table_ND[KPI] = "EBITbSI"          ),         DT_Date[Month_Number] < MonthSel     )         + CALCULATE (             [Matrix_1_FC_Previous],                 REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),            DT_Matrix_Act_Table_ND[KPI] = "EBITbSI"          ) RETURN     Act 	Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Previous; EBITbSI_0_FC_Previous	TEST; EBITbSI_effect_1_FYFC (Act till PM)_SBU; FYFC_0_PM; Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_short]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; DT_Date[Date]; Historical[Input_Date_for_PM]; Historical[KPI]
EBITbSI_effect_1_FYFC (Act till PM)_SBU	 SWITCH (     MAX ( SBU_Keys_disconected[ID] ),     7,         CALCULATE (             SUMX ( DT_SBU, [EBITbSI_effect_1_FYFC (Act till PM)] ),             ALL ( DT_SBU )         ),     CALCULATE (         [EBITbSI_effect_1_FYFC (Act till PM)],         FILTER (             DT_SBU,             DT_SBU[SBU_KEY] = SELECTEDVALUE ( SBU_Keys_disconected[SBU_Key] )         )     ) )	EBITbSI_effect_1_FYFC (Act till PM); Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Previous; EBITbSI_0_FC_Previous		SBU_Keys_disconected; DT_SBU; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	SBU_Keys_disconected[ID]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_short]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; DT_Date[Date]; Historical[Input_Date_for_PM]; Historical[KPI]; DT_SBU[SBU_KEY]; SBU_Keys_disconected[SBU_Key]
FixedCost_effect_FYFC_0_CM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),             REMOVEFILTERS( DT_Matrix_Act_Table_ND[KPI]),            DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost"          ),         DT_Date[Month_Number] <= MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),              REMOVEFILTERS( DT_Matrix_Act_Table_ND[KPI]),             DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost"          ),         DT_Date[Month_Number] > MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; FYFC_CM_0_(for PM comp.); Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
FixedCost_effect_1_FYFC	 [FixedCost_effect_2_YTD]     + CALCULATE (         [Matrix_1_FC_Current],         KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost" )     )	FixedCost_effect_2_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current	Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Act_FYFC_0(for PY comp.); Delta_1_PYFY_SBU	FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; DT_Date; Historical	FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]
FixedCost_effect_2_YTD	 TOTALYTD (     CALCULATE (         [Matrix_0_Act],         KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Fixed Cost" )     ),     DT_Date[Date] )	Matrix_0_Act; Maris_0_Act	FixedCost_effect_1_FYFC; Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); Act_YTD_0(for PY comp.); PYTD_0; Delta_1_PYTD_SBU; Act_FYFC_0(for PY comp.); Delta_1_PYFY_SBU; FixedCost_effect_0_PYTD	FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]
Volume_FYFC_0_CM	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     CALCULATE (         CALCULATE (             [Matrix_0_Act],             ALL ( DT_Date[Month_Name] ),             REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),            DT_Matrix_Act_Table_ND[KPI] = "Volume"          ),         DT_Date[Month_Number] <= MonthSel     ) VAR FC =     CALCULATE (         CALCULATE (             [Matrix_1_FC],             ALL ( DT_Date[Month_Name] ),             REMOVEFILTERS(DT_Matrix_Act_Table_ND[KPI]),             DT_Matrix_Act_Table_ND[KPI] = "Volume"          ),         DT_Date[Month_Number] > MonthSel     ) VAR FYFC = Act + FC RETURN     FYFC	Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC	TEST; Volume_effect_FYFC_1_CM(for PM comp.); VarCost_effect_FYFC_0_CM(for PM comp.); FYFC_CM_0_(for PM comp.); Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
Volume_effect_FYFC_1_CM(for PM comp.)	[Volume_FYFC_0_CM] * [CM1/kg_FYFC_0_PM_VolumeCalc]	Volume_FYFC_0_CM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; CM1/kg_FYFC_0_PM_VolumeCalc; CM1_effect_FYFC_0_PM; Volume_FYFC_0_PM	TEST; FYFC_CM_0_(for PM comp.); Delta_FYFC_2_CM_PM_month_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
Volume_0_FYFC	 [Volume_0_YTD]     + CALCULATE (         [Matrix_1_FC_Current],         KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Volume" )     )	Volume_0_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current	Volume_effect_1_FYFC(for BG comp.); Volume_effect_1_FYFC(for PY comp.); Price_1_FYFC; Price_effect_1_FYFC(for BG comp.); VarCost_effect_FYFC(for BG comp.); Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Act_FYFC_0(for PY comp.); Delta_1_PYFY_SBU	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; Historical	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]
Volume_0_YTD	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) VAR Act =     TOTALYTD (         CALCULATE (             [Matrix_0_Act],             KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Volume" )         ),         DT_Date[Date]     ) RETURN     Act	Matrix_0_Act; Maris_0_Act	Volume_0_FYFC; Volume_effect_1_FYFC(for BG comp.); Volume_effect_1_YTD(for BG comp.); Volume_effect_1_YTD(for PY comp.); Volume_effect_1_FYFC(for PY comp.); Price_1_FYFC; Price_0_YTD; Price_effect_1_FYFC(for BG comp.); Price_effect_1_YTD(for BG comp.); Price_effect_1_YTD(for PY comp.); VarCost_effect_FYFC(for BG comp.); VarCost_effect_YTD(for BG comp.); VarCost_effect_YTD(for PY comp.); Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); Act_YTD_0(for PY comp.); PYTD_0; Delta_1_PYTD_SBU; Act_FYFC_0(for PY comp.); Delta_1_PYFY_SBU; Price_0_PYTD; Price_effect_1_PYTD; Volume_0_PYTD; Volume_effect_1_PYTD; CM1/kg_PYTD_VarCostCalc; CM1/kg_PYTD_VolumeCalc; VarCost_effect_PYTD; Volume_0_YTD_for_minus_CM1_operation(for PY comp.); Volume_0_FYFC_for_minus_CM1_operation; Volume_effect_1_FYFC_for_minus_CM1_operation(for PY comp.)	DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND	DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]
